CountryName,CountryCode,IndicatorName,IndicatorCode,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Maldives,MDV,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.71,6.37,6.39,6.39,6.57,7.07,5.31,5.19,6.04,5.91,7.04,6.67,6.29,7.89,7.64,5.79,8.10,8.50
Middle East & North Africa (all income levels),MEA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.34,4.31,4.50,4.71,4.73,4.61,4.99,4.98,4.73,4.47,4.23,4.10,4.16,4.01,4.76,4.42,4.22,4.08
Mexico,MEX,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.15,4.68,4.80,4.89,5.10,5.07,5.45,5.62,5.78,5.98,5.87,5.68,5.78,5.84,6.43,6.33,6.03,6.15
Marshall Islands,MHL,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,15.79,19.02,19.93,18.57,18.68,22.53,19.40,18.18,17.26,17.64,17.26,19.62,19.62,17.91,17.49,16.03,16.02,15.62
Middle income,MIC,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.93,4.97,5.16,5.28,5.34,5.28,5.37,5.25,5.35,5.35,5.45,5.40,5.36,5.43,5.79,5.64,5.63,5.77
"Macedonia, FYR",MKD,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,8.51,8.73,9.22,10.12,8.80,8.73,8.47,9.32,9.26,8.70,8.07,7.83,6.98,6.93,6.88,6.95,6.94,7.13
Mali,MLI,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.24,7.84,7.03,6.20,6.05,6.29,6.39,6.28,6.22,6.28,6.34,6.56,6.98,6.74,6.85,6.86,6.78,5.82
Malta,MLT,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.63,5.99,6.32,6.40,6.36,6.57,7.04,7.94,8.18,8.60,9.11,9.02,8.46,8.16,8.33,8.49,8.75,9.09
Myanmar,MMR,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,2.14,2.12,1.82,1.83,1.80,2.12,2.08,2.37,2.27,2.27,2.11,2.05,1.94,2.03,2.11,1.92,1.83,1.79
Middle East & North Africa (developing only),MNA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.49,4.49,4.78,4.91,4.92,4.94,5.29,5.47,5.12,4.93,4.74,4.56,4.64,4.69,5.11,4.73,4.75,4.76
Montenegro,MNE,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,7.42,7.43,7.40,7.42,7.48,7.52,8.45,8.57,9.13,8.66,8.70,8.25,6.96,6.35,6.32,7.17,7.20,7.57
Mongolia,MNG,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.15,3.55,3.65,4.04,4.04,4.66,4.62,4.81,7.38,7.00,5.99,5.37,5.69,6.36,6.44,6.27,5.97,6.31
Mozambique,MOZ,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.30,4.28,4.63,4.52,5.29,6.16,5.64,6.45,6.39,5.91,6.87,6.51,5.96,5.50,5.95,5.72,6.36,6.42
Mauritania,MRT,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.77,3.81,3.98,4.87,5.96,5.97,4.78,5.96,5.39,5.89,5.05,3.50,4.37,4.35,5.37,6.00,5.89,6.39
Mauritius,MUS,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.62,3.52,3.52,3.57,3.44,3.72,3.80,4.17,3.89,4.17,4.46,4.79,4.95,4.60,4.97,5.41,4.95,4.81
Malawi,MWI,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.04,4.61,5.15,5.50,6.52,6.08,5.09,4.83,6.35,7.82,8.20,8.99,6.67,8.38,8.32,8.46,8.29,9.16
Malaysia,MYS,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,2.94,2.92,2.67,2.89,2.99,3.00,3.34,3.35,3.89,3.68,3.23,3.59,3.54,3.41,3.92,3.95,3.84,3.95
North America,NAC,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,13.28,13.24,13.15,13.22,13.21,13.27,13.93,14.75,15.21,15.28,15.29,15.36,15.54,15.95,17.18,17.06,17.00,17.22
Namibia,NAM,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.21,6.58,6.84,6.84,6.97,6.11,6.18,6.17,6.52,6.47,7.32,7.20,6.94,6.85,7.89,8.21,8.63,8.35
Niger,NER,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.63,6.33,6.75,6.95,6.95,6.43,7.39,7.00,6.78,7.11,7.72,7.94,7.39,7.13,7.65,6.91,6.85,7.16
Nigeria,NGA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.73,4.70,4.72,5.55,5.60,4.60,4.80,3.91,7.55,6.96,6.60,5.70,7.22,6.46,6.85,5.58,5.72,6.07
Nicaragua,NIC,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.48,6.41,5.27,5.63,5.32,5.39,5.26,5.71,6.12,6.13,6.11,6.33,6.92,7.18,7.69,7.62,7.61,8.23
Netherlands,NLD,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,8.33,8.21,7.95,8.06,8.09,7.96,8.30,8.87,9.77,9.97,10.88,10.75,10.76,10.99,11.88,12.07,11.94,12.44
High income: nonOECD,NOC,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.65,4.59,5.16,4.96,4.64,4.38,4.63,4.76,4.68,4.38,4.35,4.42,4.52,4.32,5.25,5.16,4.87,4.90
Norway,NOR,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,8.57,9.10,9.43,10.15,10.06,9.13,9.76,10.41,10.57,10.09,9.53,9.25,9.49,9.00,10.06,10.03,9.94,9.01
Nepal,NPL,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.95,5.05,5.12,6.16,5.47,5.03,5.33,5.57,5.44,5.77,5.72,5.63,5.51,6.09,5.98,5.87,6.06,5.46
New Zealand,NZL,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,7.07,7.02,7.22,7.65,7.53,7.62,7.72,8.04,7.86,8.03,8.39,8.82,8.48,9.31,10.05,10.20,10.28,10.28
High income: OECD,OEC,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,9.69,9.86,9.91,10.13,10.20,10.32,10.84,11.28,11.48,11.44,11.58,11.63,11.61,11.88,12.91,12.80,12.68,12.91
OECD members,OED,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,9.58,9.73,9.76,9.95,10.03,10.13,10.64,11.07,11.28,11.24,11.35,11.39,11.36,11.61,12.67,12.53,12.40,12.62
Oman,OMN,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.64,3.56,3.35,3.70,3.54,3.07,3.09,3.19,3.19,2.99,2.60,2.34,2.46,2.06,2.96,2.80,2.39,2.62
Other small states,OSS,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.51,4.53,4.58,4.82,4.52,4.61,4.75,4.95,4.82,4.83,4.86,4.91,4.75,4.76,5.81,5.63,5.53,5.60
Pakistan,PAK,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.27,3.36,3.35,3.61,3.72,3.02,2.83,2.99,2.85,2.82,3.18,3.67,3.55,3.34,3.01,2.99,3.01,3.15
Panama,PAN,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,7.72,7.18,7.12,7.09,6.85,7.76,7.72,8.03,7.60,8.09,7.48,7.00,6.73,7.30,8.09,8.53,7.93,7.59
Peru,PER,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.48,4.50,4.35,4.50,4.86,4.69,4.68,4.81,4.51,4.37,4.46,4.52,5.08,5.75,5.34,4.88,4.74,5.07
Philippines,PHL,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.45,3.54,3.62,3.20,3.23,3.21,3.00,2.79,3.25,3.23,3.91,3.95,3.89,3.83,4.26,4.23,4.43,4.59
Palau,PLW,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,11.45,11.64,11.37,9.96,11.07,12.03,8.62,8.29,8.29,9.23,8.28,8.37,8.64,8.62,8.40,9.65,9.00,9.46
Papua New Guinea,PNG,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.51,3.66,3.35,3.81,4.09,3.98,4.54,4.62,4.09,4.61,3.99,3.49,4.19,4.57,4.23,4.11,4.20,5.20
Poland,POL,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.48,5.88,5.61,5.91,5.73,5.52,5.86,6.34,6.24,6.20,6.21,6.19,6.33,6.88,7.20,6.99,6.84,6.72
Portugal,PRT,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,7.52,7.79,7.78,7.69,7.94,9.30,9.26,9.29,9.73,10.05,10.35,10.03,9.99,10.22,10.81,10.80,10.23,9.45
Paraguay,PRY,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.92,6.08,6.19,6.29,6.79,8.10,7.61,7.00,6.10,5.90,5.56,5.71,5.97,5.63,7.47,8.74,8.90,10.32
Pacific island small states,PSS,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.39,4.42,4.66,4.65,4.67,5.50,5.32,5.17,5.03,5.08,5.31,5.38,5.38,5.18,5.86,5.94,5.69,5.82
Qatar,QAT,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.70,3.62,3.18,3.41,2.90,2.18,2.55,2.71,4.14,3.61,3.01,2.58,2.31,1.87,2.63,2.09,1.94,2.16
Romania,ROU,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.22,3.24,4.19,3.77,4.22,4.34,4.37,4.59,5.33,5.44,5.48,5.09,5.23,5.44,5.64,5.95,5.61,5.11
Russian Federation,RUS,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.36,5.55,7.10,6.62,5.80,5.42,5.67,5.98,5.61,5.19,5.21,5.30,5.38,5.14,6.17,6.30,6.06,6.26
Rwanda,RWA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.27,4.44,4.42,5.08,4.57,4.22,4.37,4.18,6.34,5.82,6.09,10.01,10.02,10.13,9.95,10.80,10.96,10.66
South Asia,SAS,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.87,3.79,4.01,4.09,3.91,4.01,4.19,4.19,4.09,4.27,4.12,4.00,3.88,3.89,3.87,3.68,3.87,3.99
Saudi Arabia,SAU,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,2.93,2.93,3.03,3.31,4.10,4.24,4.49,4.27,4.00,3.70,3.55,3.74,3.75,3.11,4.14,4.04,3.51,3.21
Sudan,SDN,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.69,4.06,3.71,4.00,3.80,3.39,3.54,3.59,3.83,4.14,4.11,5.02,6.18,7.47,7.40,6.53,6.74,7.25
Senegal,SEN,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.93,4.08,3.94,3.97,4.49,4.63,4.98,5.06,5.40,5.68,5.36,5.44,4.71,4.94,4.80,4.81,4.99,4.96
Singapore,SGP,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,2.96,2.89,2.81,3.12,2.86,2.75,2.41,2.88,3.65,3.21,3.79,3.70,3.55,4.01,4.48,4.15,4.19,4.65
Solomon Islands,SLB,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.25,3.02,3.28,3.53,3.80,4.56,6.44,6.09,6.00,5.64,7.83,6.66,5.64,5.61,7.84,7.36,7.67,8.05
Sierra Leone,SLE,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,15.10,14.80,15.41,14.65,15.91,18.41,16.05,15.97,15.53,15.36,15.89,14.18,14.02,14.16,16.90,15.43,16.31,15.08
El Salvador,SLV,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.38,7.86,8.78,8.33,8.32,8.11,7.97,7.73,7.31,7.30,7.19,6.68,6.32,6.21,6.83,6.91,6.82,6.71
San Marino,SMR,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.50,5.30,5.29,5.21,5.23,5.29,5.18,6.52,5.15,5.32,5.26,5.06,4.99,5.00,5.09,5.30,5.51,6.54
Serbia,SRB,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,7.32,7.32,7.22,7.40,7.41,7.42,7.58,8.87,8.81,8.66,9.05,9.42,10.36,10.36,10.49,10.74,10.33,10.47
Sub-Saharan Africa (developing only),SSA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.96,6.12,6.28,6.51,6.59,6.14,6.28,5.90,6.80,6.95,6.87,6.58,6.53,6.32,6.82,6.54,6.47,6.55
Sub-Saharan Africa (all income levels),SSF,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.96,6.12,6.28,6.51,6.58,6.12,6.25,5.88,6.77,6.91,6.80,6.52,6.47,6.27,6.81,6.52,6.45,6.52
Small states,SST,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.77,4.84,4.97,4.94,4.74,4.93,4.99,5.14,5.05,5.11,5.05,5.03,5.07,5.06,5.99,5.71,5.67,5.78
Sao Tome and Principe,STP,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,7.64,7.08,8.33,7.36,8.49,8.86,10.28,10.55,11.81,11.03,10.00,7.84,7.13,6.29,7.51,7.07,7.61,7.88
Suriname,SUR,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.19,7.41,7.76,8.61,6.80,8.75,8.39,7.14,6.62,6.88,6.78,6.22,5.92,5.92,6.14,5.81,6.03,5.88
Slovak Republic,SVK,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.06,6.44,5.78,5.66,5.75,5.50,5.50,5.63,5.82,7.21,7.04,7.35,7.76,8.02,9.15,8.99,7.94,7.80
Slovenia,SVN,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,7.46,7.64,7.76,7.81,7.80,8.26,8.57,8.62,8.65,8.35,8.36,8.28,7.86,8.35,9.19,8.87,8.85,8.76
Sweden,SWE,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,7.96,8.20,8.03,8.12,8.20,8.18,8.86,9.23,9.31,9.09,9.06,8.95,8.92,9.23,9.94,9.47,9.47,9.61
Swaziland,SWZ,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.96,5.40,5.12,5.51,5.33,5.26,5.17,5.16,5.76,5.88,6.80,6.81,7.05,8.19,8.43,8.44,8.26,8.53
Seychelles,SYC,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.19,5.37,5.84,5.23,5.29,4.82,4.67,4.39,4.83,4.30,4.01,3.80,3.39,2.69,2.67,3.69,3.58,4.66
Syrian Arab Republic,SYR,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.52,5.50,5.30,5.12,5.25,4.92,4.88,4.94,5.12,4.48,4.11,3.83,3.80,3.37,3.55,3.41,3.38,3.40
Chad,TCD,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.78,5.49,5.54,5.41,5.87,6.28,6.02,8.01,5.78,5.10,4.73,4.03,4.20,3.57,4.49,4.02,2.84,2.81
Togo,TGO,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.59,4.66,4.56,4.66,4.70,5.30,5.15,4.95,5.58,5.89,6.57,6.38,6.47,6.46,7.19,7.46,8.01,8.64
Thailand,THA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.53,3.84,4.00,3.74,3.50,3.40,3.32,3.70,3.58,3.51,3.55,3.49,3.56,3.92,4.11,3.81,4.12,3.93
Tajikistan,TJK,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.48,3.14,3.67,3.60,3.92,4.64,4.59,4.48,4.46,4.30,4.84,4.78,5.35,5.58,5.93,5.98,5.78,5.76
Turkmenistan,TKM,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.07,3.25,4.85,5.03,3.90,3.93,3.84,3.35,3.85,3.66,2.95,2.19,2.11,1.85,2.13,2.13,2.07,1.98
Tonga,TON,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.13,4.21,4.48,4.73,5.14,4.75,5.65,5.03,5.08,4.77,6.39,5.50,6.86,6.27,4.60,4.80,5.05,5.37
Trinidad and Tobago,TTO,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.69,4.33,4.16,3.69,4.25,4.05,4.40,5.00,5.13,5.22,5.26,4.43,4.78,4.36,6.12,5.19,5.31,5.44
Tunisia,TUN,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.86,5.40,5.14,5.40,5.43,5.40,5.29,5.32,5.36,5.63,5.57,5.64,5.64,5.63,6.18,6.66,7.00,7.04
Turkey,TUR,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.37,3.90,4.21,3.59,4.77,4.95,5.16,5.36,5.34,5.37,5.45,5.81,6.04,6.07,6.75,6.75,6.13,6.30
Tuvalu,TUV,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,8.51,11.43,8.55,8.39,8.97,11.01,9.23,7.16,21.59,16.60,17.87,19.07,16.62,13.29,12.85,13.56,17.59,15.43
Tanzania,TZA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.90,3.62,3.59,3.36,3.50,3.38,3.53,3.42,3.75,3.44,4.02,6.53,5.69,5.36,5.62,7.19,7.37,6.99
Uganda,UGA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.76,5.47,5.34,5.52,6.71,6.64,7.24,7.53,7.56,7.88,9.17,9.56,9.36,8.80,9.35,9.17,9.28,7.97
Ukraine,UKR,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,7.72,7.02,6.85,6.60,5.89,5.59,5.66,6.25,6.93,6.61,6.41,6.39,6.36,6.63,7.80,7.81,7.34,7.56
Upper middle income,UMC,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.26,5.32,5.48,5.52,5.69,5.61,5.67,5.57,5.65,5.63,5.75,5.71,5.64,5.70,6.16,6.05,5.99,6.10
Uruguay,URY,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,15.60,13.01,9.31,10.05,11.19,11.25,11.19,10.97,9.68,8.50,8.24,8.35,7.99,7.96,8.93,8.77,8.55,8.97
United States,USA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,13.60,13.57,13.48,13.50,13.50,13.58,14.24,15.09,15.62,15.72,15.77,15.86,16.08,16.54,17.71,17.66,17.68,17.91
Uzbekistan,UZB,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.79,7.17,6.86,6.35,5.54,5.29,5.28,5.44,5.17,5.12,5.11,5.49,5.45,5.15,5.37,5.35,5.63,5.89
St. Vincent and the Grenadines,VCT,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.46,4.45,4.73,4.17,4.15,3.72,3.64,3.93,3.90,3.72,3.65,3.88,3.92,4.70,5.13,4.71,4.91,5.22
"Venezuela, RB",VEN,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.23,3.49,3.86,4.51,5.65,5.69,5.96,5.65,5.86,5.57,5.43,5.74,5.96,5.64,5.77,4.71,4.54,4.65
Vietnam,VNM,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.19,5.05,4.88,4.94,4.88,5.28,5.59,5.14,5.23,5.53,5.86,6.50,7.08,6.00,6.52,6.93,6.80,6.57
Vanuatu,VUT,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,2.64,2.34,3.28,3.91,3.52,3.57,3.67,3.85,3.68,3.48,3.26,3.11,3.67,3.67,3.90,4.68,3.83,3.63
World,WLD,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,8.82,8.90,8.93,9.15,9.27,9.28,9.70,10.06,10.22,10.11,10.10,9.99,9.82,9.84,10.67,10.33,10.09,10.20
Samoa,WSM,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.17,4.71,5.23,5.80,6.28,6.02,5.76,5.53,5.15,4.93,4.95,5.19,5.89,5.09,5.67,6.41,7.03,6.82
"Yemen, Rep.",YEM,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.14,4.11,4.07,4.98,4.28,4.14,4.34,4.22,5.00,4.90,4.58,4.82,4.92,5.12,5.32,5.13,4.99,5.53
South Africa,ZAF,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,7.42,7.96,8.26,8.58,8.89,8.29,8.58,8.50,8.63,8.91,8.80,8.53,7.79,8.04,8.68,8.71,8.66,8.79
"Congo, Dem. Rep.",COD,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.68,3.41,4.07,4.74,4.25,4.77,4.33,4.22,5.08,5.36,5.30,5.55,5.88,7.33,9.15,7.02,6.07,5.59
Zambia,ZMB,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.60,5.89,6.21,6.53,5.80,5.64,5.98,6.73,6.73,6.69,7.08,6.41,5.95,6.63,6.37,6.13,6.17,6.54
