Vendor Name , Budget Fiscal Year , Date , Vendor HQ State , Vendor HQ City , Government Area , Department Name , Department , Account , Account Name , Funding Type , Fund Name , Fund , Object Class , Object Code Name , Object Code , Statewide Contract Number , Amount Spent
T. & C. FLYNN'S PHARMACY INC.,2010,2009-07-13,MA,PITTSFIELD,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,15565
"MARINA V PINKAS, DMD, PC",2010,2009-07-17,MA,N ATTLEBORO,Health and Human Services,Exec Office of Health & Human Services,EHS,40000880,MassHealth - Family Assistance,Budgetary,General Fund,0010,RR,Medicaid,R10,,242
HEIDI ZIMMERLI,2010,2009-07-17,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,215.94
ST ELIZABETHS HOSPITAL,2010,2009-07-27,MA,BRIGHTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000870,MassHealth - Basic Expansion,Budgetary,General Fund,0010,RR,Medicaid,R10,,1040.76
EDWARD M NOWAK,2010,2009-08-14,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,49.34
WINCHESTER EMERGENCY MEDICAL ASSOC,2010,2009-08-28,MA,WINCHESTER,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,29.63
VISTING NURSE ASSOC OF BOSTON,2010,2009-09-28,MA,CHARLESTOWN,Health and Human Services,Exec Office of Health & Human Services,EHS,40000870,MassHealth - Basic Expansion,Budgetary,General Fund,0010,RR,Medicaid,R10,,226.78
FRANCIS P ERMILIO,2010,2009-10-02,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,5.2
"ARROW PRESCRIPTION CENTER, PRESCRIPTION CENTER #31",2010,2009-10-09,MA,WESTFIELD,Health and Human Services,Exec Office of Health & Human Services,EHS,40000870,MassHealth - Basic Expansion,Budgetary,General Fund,0010,RR,Medicaid,R10,,232.24
MICHAEL P MEEGAN,2010,2009-10-09,MA,SOUTH WALPOLE,Health and Human Services,Exec Office of Health & Human Services,EHS,40000320,PRIOR YEAR COLLECTIONS FROM LIENS/ESTATE,Budgetary,General Fund,0010,RR,Medicaid,R10,,557.96
JOHN F BURTON,2010,2009-11-06,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,143.05
SOUTHCOAST CHIROPRACTIC,2010,2009-10-30,MA,NEW BEDFORD,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,5.2
DANIEL P BENOIT,2010,2009-10-30,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,24.1
GRABIAS MEDICAL GROUP PC,2010,2009-12-07,MA,WEBSTER,Health and Human Services,Exec Office of Health & Human Services,EHS,40000320,PRIOR YEAR COLLECTIONS FROM LIENS/ESTATE,Budgetary,General Fund,0010,RR,Medicaid,R10,,74.86
CENTRAL MASS PODIATRY PC,2010,2009-12-14,MA,WORCESTER,Health and Human Services,Exec Office of Health & Human Services,EHS,40000870,MassHealth - Basic Expansion,Budgetary,General Fund,0010,RR,Medicaid,R10,,55.13
MICHAEL J CUNHA,2010,2009-12-31,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,2.6
"UHS OF FULLER, FULLER HOSPITAL",2010,2009-11-30,MA,S ATTLEBORO,Health and Human Services,Mass Rehabilitation Commission,MRC,41200511,VOCATIONAL REHABILITATION-DETERMINATION,Federal Grants,Federal Grants Fund,0100,JJ,Legal Support Services,JJ1,RFR99-8990004,110
"UNITED PARCEL SERVICE, INC.",2010,2009-09-21,GA,ATLANTA,Energy & Environmental Affairs,Department of Environmental Protection,EQE,22000100,ENIVRONMENTAL COMPLIANCE,Budgetary,General Fund,0010,EE,Postage,E06,,12.72
METROPOLITAN TELEPHONE CO INC,2010,2009-09-08,MA,WALPOLE,Energy & Environmental Affairs,Department of Environmental Protection,EQE,20001700,Energy and Environment Information Technology Costs,Budgetary,General Fund,0010,UU,Information Tech (IT) Equipment Maintenance & Repair,U10,BASIT-01,307.5
"GREATER NEW BEDFORD PHYSICAL, THERAPY & SPORTS REHAB INC",2010,2009-12-04,MA,NEW BEDFORD,Labor and Workforce Development,Division of Industrial Accidents,DIA,94400208,IMPARTIAL MEDICAL EXAMINATION,Trusts,Expendable Trust Fund - External,0300,JJ,Legal Support Services,JJ1,LEG EXEMPT,450
AVAYA INC,2010,2009-11-18,NJ,BASKING RIDGE,Education,Department of Higher Education,RGT,70660000,HIGHER EDUCATION COORDINATING COUNCIL,Budgetary,General Fund,0010,UU,Information Tech (IT) Equipment Maintenance & Repair,U10,ITT12DESGINATED,1000.8
RICHARD ZANIEWSKI,2010,2009-12-15,,,Independents,Office of the Treasurer,TRE,06100605,UNPAID CHECK FUND,Trusts,Suspense Fund,0610,TT,Payment Of Unclaimed Funds,T15,,611.9
TOWN OF AGAWAM,2010,2009-07-27,MA,AGAWAM,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,776.2
RADIOLOGY ONCOLOGY ASSOCIATES,2010,2009-07-10,MA,LUDLOW,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,45.12
HILLTOWN COMM HEALTH CTRS INC,2010,2009-08-10,MA,WORTHINGTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000430,COMMONHEALTH SUPPLEMENTAL CARE FOR,Budgetary,General Fund,0010,RR,Medicaid,R10,,763.1
"JULES RAKO MD, PEDIATRIC HEALTH CARE",2010,2009-08-07,MA,BROCKTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,161.8
STAY WELL AHDC INC,2010,2009-08-17,NJ,GLEN ROCK,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,36989.9
INNOVATIVE PHYSICIAN SVCS LLC,2010,2009-09-18,MA,SPRINGFIELD,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,711.62
NANCY DUNCAN,2010,2009-09-21,,,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,808.87
DHIRENDRA S BANA,2010,2009-09-25,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40001405,MassHealth - Essential Plan,Budgetary,General Fund,0010,RR,Medicaid,R10,,74.86
IRINA V TOLMACH,2010,2009-10-16,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,102
"DUXBURY HEALTHCARE PARTNERSHIP, BAY PATH NURSING & REHAB INC",2010,2009-11-23,MA,NORWELL,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,11401.3
JOHN J MEADE,2010,2009-11-20,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,49
EXCEL HOMECARE SERVICESINC,2010,2009-11-09,MA,LUDLOW,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,560.33
THE WILLIAM A ALLEN CO INC,2010,2009-12-07,MA,LEOMINSTER,Health and Human Services,Exec Office of Health & Human Services,EHS,40000320,PRIOR YEAR COLLECTIONS FROM LIENS/ESTATE,Budgetary,General Fund,0010,RR,Medicaid,R10,,152
PEPPERELL PHARMACY INC,2010,2009-12-31,MA,PEPPERELL,Health and Human Services,Exec Office of Health & Human Services,EHS,40001405,MassHealth - Essential Plan,Budgetary,General Fund,0010,RR,Medicaid,R10,,1302.81
MARY G CIRI,2010,2009-11-06,,,Health and Human Services,Mass Rehabilitation Commission,MRC,41200511,VOCATIONAL REHABILITATION-DETERMINATION,Federal Grants,Federal Grants Fund,0100,HH,Health and Safety Services,HH4,RFR99-8990004,636.99
ROBERT L CHESBRO,2010,2009-10-23,,,Judiciary,Committee for Public Counsel Service,CPC,03211510,"COMPENSATION OF PRIVATE COUNSEL,",Budgetary,General Fund,0010,RR,Public Counsel,R24,LEGISLATIVEXMPT,2662.5
"MCDERMOTT-PALLOTTA INC, EVANS & FAULKNER",2010,2009-11-13,MA,WATERTOWN,Health and Human Services,Department of Children and Families,DSS,48000015,DSS CENTRAL AND REGIONAL ADMINISTRATION,Budgetary,General Fund,0010,JJ,Photographic & Micrographic Services,J33,DSSJ33,404.85
RETROFIT INC,2010,2009-11-17,MA,MILFORD,Health and Human Services,Mass Rehabilitation Commission,MRC,41200020,VOCATIONAL REHABILITATION,Federal Grants,Federal Grants Fund,0100,UU,Information Tech (IT) Equipment Maintenance & Repair,U10,ITC16A,864
"NARRAGANSETT REGIONAL SCH DIST, PHYLLIS M ERICKSON",2010,2009-11-10,MA,OTTER RIVER,Education,Elementary and Secondary Education,DOE,70301002,KINDERGARTEN EXPANSION GRANTS,Budgetary,General Fund,0010,PP,Grants To Public Entities,P01,GRANT APPL,1437
GEORGE S BENJAMIN,2010,2009-11-06,,,Public Safety and Security,Chief Medical Examiner,CME,80000122,CHIEF MEDICAL EXAMINER RET REV,Budgetary,General Fund,0010,HH,Health and Safety Services,HH4,OCME 2008-002,400
"PROFESSIONAL STAFFING GROUP, PSG",2010,2009-11-03,MA,BOSTON,Health and Human Services,Department of Public Health,DPH,45100404,BIOTERRORISM HOSPITAL PREPAREDNESS,Federal Grants,Federal Grants Fund,0100,JJ,Temporary Help Services,J46,PRF34,659.47
"REED ELSEVIER, LEXIS LAW PUBLISHING",2010,2009-12-14,VA,CHARLOTTESVILLE,Administration and Finance,Department of Revenue,DOR,12010100,DEPARTMENT OF REVENUE-ADMINISTRATION,Budgetary,General Fund,0010,EE,"Subscriptions, Memberships & Licensing Fees",E12,,8859.25
DEBORAH T WALSH,2010,2009-11-30,,,Independents,Board of Library Commissioners,BLC,70009702,LIBRARY SERVICES AND TECHNOLOGY ACT,Federal Grants,Federal Grants Fund,0100,HH,Reim Trav/Exp For Consultant Services,H98,,800
PITNEY BOWES INC,2010,2009-12-24,CT,STAMFORD,Judiciary,Trial Court,TRC,03303337,Trial Court Additional Expenses,Budgetary,General Fund,0010,EE,Postage,E06,,2229
FIDELITY HOUSE,2010,2009-12-09,MA,LAWRENCE,Health and Human Services,Department of Developmental Services,DMR,59202000,RESIDENTIAL AND DAY COMPONENT,Budgetary,General Fund,0010,MM,Purchased Human & Social Services For Clients/Non Medical,M03,303MV09,4100
"NEURO REHAB ASSOCIATES, NORTHEAST REHAB HOSPITAL",2010,2009-07-13,NH,SALEM,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,6104.68
ACADEMY NURSING HOME INC,2010,2009-08-03,PA,KENNETT SQUARE,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,110014.43
STUART LEVINE & DENA BABIN,2010,2009-08-07,MA,FALL RIVER,Health and Human Services,Exec Office of Health & Human Services,EHS,40000880,MassHealth - Family Assistance,Budgetary,General Fund,0010,RR,Medicaid,R10,,91
PATHOLOGISTS OF ST ANNE PC,2010,2009-09-04,MA,FALL RIVER,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,368.88
BELMONT MEDICAL ASSOC INC,2010,2009-08-28,MA,CAMBRIDGE,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,31.53
NEUROLOGY ASSOCIATES P C,2010,2009-09-14,MA,NORTH DARTMOUTH,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,12.31
TUFTS MEDICAL CENTER INC,2010,2009-10-05,MA,BOSTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000430,COMMONHEALTH SUPPLEMENTAL CARE FOR,Budgetary,General Fund,0010,RR,Medicaid,R10,,3879.84
JORDAN HOSPITAL INC,2010,2009-10-13,MA,PLYMOUTH,Health and Human Services,Exec Office of Health & Human Services,EHS,40001405,MassHealth - Essential Plan,Budgetary,General Fund,0010,RR,Medicaid,R10,,24782.84
CATHERINE HONDORP,2010,2009-09-25,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,74.36
WORCESTER FAMILY DENTALPC,2010,2009-10-16,MA,WORCESTER,Health and Human Services,Exec Office of Health & Human Services,EHS,40000880,MassHealth - Family Assistance,Budgetary,General Fund,0010,RR,Medicaid,R10,,920
FALMOUTH HOSPITAL ASSOC INC,2010,2009-10-19,MA,FALMOUTH,Health and Human Services,Exec Office of Health & Human Services,EHS,40000870,MassHealth - Basic Expansion,Budgetary,General Fund,0010,RR,Medicaid,R10,,6288.51
FRC INC,2010,2009-11-09,MA,WEST ROXBURY,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,5121.61
EDGARDO C ANGELES MD & ASSOC,2010,2009-11-06,MA,MIDDLEBORO,Health and Human Services,Exec Office of Health & Human Services,EHS,40000430,COMMONHEALTH SUPPLEMENTAL CARE FOR,Budgetary,General Fund,0010,RR,Medicaid,R10,,24.81
JOHN M CARROLL,2010,2009-11-16,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,573.06
"BERKSHIRE MEDICAL CTR  INC, PATIENT ACCOUNTING",2010,2009-11-30,MA,PITTSFIELD,Health and Human Services,Exec Office of Health & Human Services,EHS,40000875,CERVICAL/BREAST CANCER BENEFITS,Budgetary,General Fund,0010,RR,Medicaid,R10,,7849.45
"CLINTON HOSPITAL, R REDDICK",2010,2009-11-30,MA,CLINTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,8714.21
RUTH HAZEN MD,2010,2009-12-04,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000320,PRIOR YEAR COLLECTIONS FROM LIENS/ESTATE,Budgetary,General Fund,0010,RR,Medicaid,R10,,1092.92
CRESCENT MANOR REST HM INC,2010,2009-12-21,MA,GRAFTON,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,10749.1
"EGLESTON SQUARE PHARMACY,",2010,2009-12-31,MA,ROXBURY,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,7.38
VALLEY MEDICAL ASSOCIATES PC,2010,2009-12-31,MA,SPRINGFIELD,Health and Human Services,Exec Office of Health & Human Services,EHS,40001400,MASSHEALTH HIV EXPANSION,Budgetary,General Fund,0010,RR,Medicaid,R10,,73.45
ELIOT COMMUNITY HUMAN SRVCS,2010,2009-09-16,MA,LEXINGTON,Health and Human Services,Department of Children and Families,DSS,48000041,DELIVERY OF GROUP CARE SERVICES TO,Budgetary,General Fund,0010,MM,Purchased Human & Social Services For Clients/Non Medical,M03,DSS-FNS06,99504.91
OPTOMETRY ASSOC WORC INC,2010,2009-07-10,MA,WORCESTER,Health and Human Services,Exec Office of Health & Human Services,EHS,40000430,COMMONHEALTH SUPPLEMENTAL CARE FOR,Budgetary,General Fund,0010,RR,Medicaid,R10,,35
METROPOLITAN ANESTHESIA LLC,2010,2009-07-20,MA,MELROSE,Health and Human Services,Exec Office of Health & Human Services,EHS,40001405,MassHealth - Essential Plan,Budgetary,General Fund,0010,RR,Medicaid,R10,,885.15
"BOSTON CLINICAL, LABORATORIES INC",2010,2009-08-21,MA,WALTHAM,Health and Human Services,Exec Office of Health & Human Services,EHS,40001400,MASSHEALTH HIV EXPANSION,Budgetary,General Fund,0010,RR,Medicaid,R10,,340.48
JEFFREY S FELDMAN MD PC,2010,2009-08-21,MA,WINCHESTER,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,83.06
URBAN EYE MD ASSOCIATES PC,2010,2009-08-31,MA,ROXBURY,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,2203.08
FRANK T M NGHIEM DMD,2010,2009-09-11,MA,DORCHESTER,Health and Human Services,Exec Office of Health & Human Services,EHS,40000880,MassHealth - Family Assistance,Budgetary,General Fund,0010,RR,Medicaid,R10,,587
LONGWOOD ORTHOPEDIC ASSOC,2010,2009-10-02,MA,CHESTNUT HILL,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,189.85
MONT MARIEHEALTH  CARE CTR INC,2010,2009-10-19,MA,HOLYOKE,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,2709
ROBERT M MCCARTHY DR,2010,2009-10-19,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,5085
JEFFREY D HOROWITZ MD PC,2010,2009-10-23,MA,FALL RIVER,Health and Human Services,Exec Office of Health & Human Services,EHS,40000430,COMMONHEALTH SUPPLEMENTAL CARE FOR,Budgetary,General Fund,0010,RR,Medicaid,R10,,73.71
MASSACHUSETTS  ASSISTED LIVING LLC,2010,2009-11-02,MA,NEEDHAM,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,4879.93
ROBERT M CONDON,2010,2009-11-20,,,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,34.35
JESSICA N TORRE DDS PC,2010,2009-11-13,MA,NANTUCKET,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,69
INDEPENDENCE EYE ASSOC,2010,2009-11-13,MA,FAIRHAVEN,Health and Human Services,Exec Office of Health & Human Services,EHS,40000870,MassHealth - Basic Expansion,Budgetary,General Fund,0010,RR,Medicaid,R10,,140.41
FOUR WOMEN PHYSICIAN GROUP,2010,2009-11-30,MA,ATTLEBORO,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,8596.85
"PEDIATRIC ASSOC OF GREATER SALEM INC, OF GREATER SALEM INC",2010,2009-10-22,MA,SALEM,Health and Human Services,Mass Rehabilitation Commission,MRC,41200511,VOCATIONAL REHABILITATION-DETERMINATION,Federal Grants,Federal Grants Fund,0100,JJ,Legal Support Services,JJ1,RFR99-8990004,25
DENNIS K. BURKE INC.,2010,2009-09-25,MA,CHELSEA,Transportation,Highway Dept,DPW,60330717,Non-Federally Assisted Construction & Advertisement costs,Capital,Highway Capital Projects Fund,0210,EE,"Fees, Fines, Licenses, Permits & Chargebacks",E19,ENE200000000000,2941.05
MINHTRAM THI TRAN,2010,2009-11-12,,,Judiciary,Committee for Public Counsel Service,CPC,03211510,"COMPENSATION OF PRIVATE COUNSEL,",Budgetary,General Fund,0010,RR,Public Counsel,R24,LEGISLATIVEXMPT,11015
"NEXTEL COMMUNICATIONS MID ATLA, CORPORATE HEADQTRS",2010,2009-12-08,VA,RESTON,Health and Human Services,Mass Rehabilitation Commission,MRC,41200029,VOCATIONAL REHABILITATION TRUST FUNDS,Trusts,Expendable Trust Fund - External,0300,UU,Telecommunications Services - Voice,U02,ITT09,1172.23
"PARADIS FUNERAL HOME, INC",2010,2009-11-27,MA,OXFORD,Public Safety and Security,Chief Medical Examiner,CME,80000105,OFFICE OF CHIEF MEDICAL EXAMINER,Budgetary,General Fund,0010,HH,Health and Safety Services,HH4,RFROCME2007004,182
SOUTH SHORE SUPPORT SERV INC,2010,2009-09-09,MA,WEYMOUTH,Health and Human Services,Department of Developmental Services,DMR,59202000,RESIDENTIAL AND DAY COMPONENT,Budgetary,General Fund,0010,MM,Purchased Human & Social Services For Clients/Non Medical,M03,98-SC-902,41924.86
"DEVENS RESERVE FORCES TRAINING, AREA",2010,2009-11-09,MA,DEVENS,Independents,Middlesex Sheriff's Department,SDM,89100107,FORMER MIDDLESEX COUNTY CORRECTIONAL,Budgetary,General Fund,0010,EE,Temp Use Space/Confer-Incidental Includes Reservation Fees,E22,,200
ARA BARSAMIAN,2010,2009-07-31,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000430,COMMONHEALTH SUPPLEMENTAL CARE FOR,Budgetary,General Fund,0010,RR,Medicaid,R10,,70.11
"BEAUMONT REHAB AND SKILLED, NURSING CENTER (WESTBORO)",2010,2009-08-17,MA,WESTBOROUGH,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,35223.84
PAILIN DENTAL CENTER PC,2010,2009-09-14,MA,LOWELL,Health and Human Services,Exec Office of Health & Human Services,EHS,40000880,MassHealth - Family Assistance,Budgetary,General Fund,0010,RR,Medicaid,R10,,859.64
LYUDMILA SHNAYDER DMD PC,2010,2009-10-02,MA,EVERETT,Health and Human Services,Exec Office of Health & Human Services,EHS,40000870,MassHealth - Basic Expansion,Budgetary,General Fund,0010,RR,Medicaid,R10,,139
HEALTH CARE OF CAPE COD,2010,2009-10-05,MA,BROCKTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,115.51
DAVID M GUYETTE,2010,2009-10-09,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000320,PRIOR YEAR COLLECTIONS FROM LIENS/ESTATE,Budgetary,General Fund,0010,RR,Medicaid,R10,,51.4
STEPHEN HOENIG,2010,2009-09-25,,,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,79.24
"MILFORD GASTROENTEROLOGY, ASSOCIATES INC",2010,2009-11-09,MA,MILFORD,Health and Human Services,Exec Office of Health & Human Services,EHS,40001405,MassHealth - Essential Plan,Budgetary,General Fund,0010,RR,Medicaid,R10,,1134.78
EMT CORP,2010,2009-11-23,MA,LAWRENCE,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,344.64
"SAINTS MEMORIAL MED CT,INC, BUSINESS OFFICE",2010,2009-11-16,MA,LOWELL,Health and Human Services,Department of Elder Affairs,ELD,40000600,MassHealth - Senior Care Plans,Budgetary,General Fund,0010,RR,Medicaid,R10,,7305.06
LEOMINSTER MEDICAL ASSOCIATES,2010,2009-11-27,MA,LEOMINSTER,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,33.18
JOHN L OHMAN JR,2010,2009-12-18,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,145.82
"MARIA IOANNOU-BEGIN, LAW OFFICE M IOANNOU-BEGIN",2010,2009-11-24,MA,FRAMINGHAM,Judiciary,Committee for Public Counsel Service,CPC,03211510,"COMPENSATION OF PRIVATE COUNSEL,",Budgetary,General Fund,0010,RR,Public Counsel,R24,LEGISLATIVEXMPT,450
"DIANNE G RUTAN, MCCARTHY REPORTING SERVICE",2010,2009-12-07,,,Judiciary,Committee for Public Counsel Service,CPC,03211520,INDIGENT PERSONS' FEES AND COURT COSTS,Budgetary,General Fund,0010,RR,Public Counsel,R24,LEGISLATIVEXMPT,1137
ANTHONY J J SAIA,2010,2009-09-22,,,Administration and Finance,Department of Revenue,DOR,12010410,DOR CHILD SUPPORT ENFORCEMENT TRUST FUND,Trusts,Child Support Enforcement Fund,0142,JJ,"Sheriffs, Constables & Process Servers",J41,,24.22
"UNITED PARCEL SERVICE, INC.",2010,2009-10-22,GA,ATLANTA,Health and Human Services,Department of Public Health,DPH,45120102,SEXUALLY TRANSMITTED DISEASE CONTROL,Federal Grants,Federal Grants Fund,0100,JJ,Auxiliary Services,JJ2,OFF31,1094
VERMONT ARTS EXCHANGE,2010,2009-10-29,VT,NORTH BENNINGTON,Health and Human Services,Department of Public Health,DPH,45900915,HOSPITAL OPERATIONS,Budgetary,General Fund,0010,MM,Indiv W/Orgs  Medical Health,M2M,800617,5300
ACTON WATER SUPPLY DISTRICT,2010,2009-11-03,MA,ACTON,Health and Human Services,Department of Developmental Services,DMR,59202010,FOR STATE OPERATED COMMUNITY BASED,Budgetary,General Fund,0010,GG,Sewage Disposal & Water,G08,,497.62
DELL MARKETING LP,2010,2009-11-20,TX,ROUND ROCK,Energy & Environmental Affairs,Department of Fish and Game,FWE,23309742,Age and Growth Project Segment One,Federal Grants,Federal Grants Fund,0100,NN,Non-Major Facility Infrastructure Maintenance and Repair,N50,ITC16A,1391.71
ZBIGNIEW DOMBEK,2010,2009-07-10,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,53.24
JAMES S ROSENTHAL MD PC,2010,2009-07-20,MA,SPRINGFIELD,Health and Human Services,Exec Office of Health & Human Services,EHS,40001405,MassHealth - Essential Plan,Budgetary,General Fund,0010,RR,Medicaid,R10,,100.63
"BAYSTATE MRI & IMAGE   CTR, BAYSTATE MRI & IMAGING CTR",2010,2009-08-03,MA,SPRINGFIELD,Health and Human Services,Exec Office of Health & Human Services,EHS,40000430,COMMONHEALTH SUPPLEMENTAL CARE FOR,Budgetary,General Fund,0010,RR,Medicaid,R10,,3049.94
