"Neighborhood","CUISINE","RESTAURANT","SCORE"
"East Midtown ","Mediterranean","OMAR'S MEDITERRANEAN CUISINE",12
"East Midtown ","American","OVERLOOK",12
"East Midtown ","Italian","PIETROS",12
"East Midtown ","Chinese","SHIH LEE CHINESE GOODEATS",12
"East Midtown ","Japanese","SOBA TOTTO",12
"East Midtown ","American","THE RIVER CLUB",12
"East Midtown ","Japanese","UDON WEST",12
"East Midtown ","Italian","VA PRESTO",12
"East Midtown ","Japanese","YAKINIKU GEN",12
"Financial District ","American","ROUTE 66 AMERICAN BBQ",12
"Financial District, Seaport","American","KETCH BREWHOUSE",12
"Financial District, Seaport","American","RESIDENCE INN WORLD TRADE CENTER",12
"Gramercy ","Caf/Coffee/Tea","ALYSHIA ALEEM COFFEE SHOP",12
"Gramercy ","Italian","FRANK'S TRATTORIA",12
"Gramercy ","Caf/Coffee/Tea","GREGORY'S COFFEE",12
"Gramercy ","Steak","HILLSTONE MANHATTAN",12
"Gramercy ","American","MANGIA FRESCO ROOM BARUCH COLLEGE",12
"Greenwich Village ","Seafood","BAIT  HOOK",12
"Greenwich Village ","Bangladeshi","ROYAL BANGLADESH INDIAN RESTAURANT",12
"Greenwich Village ","Polish","VESELKA RESTAURANT",12
"Greenwich Village ","Japanese","YUBA",12
"Harlem","Indian","MAHARAJA PALACE",12
"Harlem","Chinese","NEW GOLDEN EMPIRE CHINESE RESTAURANT",12
"Harlem","Chilean","THE GRANGE BAR  EATERY",12
"Harlem ","American","BITERS",12
"Harlem ","Sandwiches","SUBWAY",12
"Inwood ","Juice Smoothies Fruit Salads","DISFRUTA",12
"Inwood ","Italian","IL SOLE",12
"Inwood ","American","INWOOD BEER GARDEN  BISTRO",12
"Lower East Side ","Chinese","BITE Of HONG KONG",12
"Lower East Side ","Spanish","CHARRUA",12
"Lower East Side ","Chinese","HAPPY GARDEN PALACE",12
"Lower East Side ","Chinese","NEW HAPPY WOK",12
"Lower East Side ","Japanese","SUSHI HANA",12
"Lower East Side ","Chinese","ZING'S AWESOME RICE",12
"Midtown ","Japanese","KUROOBI OF IPPUDO",12
"Midtown Upper East Side ","Italian","BOCCA EAST",12
"Midtown Upper East Side ","Pizza","ORIGINAL RAY'S PIZZA",12
"Midtown Upper East Side ","Jewish/Kosher","PASTRAMI QUEEN",12
"Midtown Upper East Side ","Mediterranean","SOJOURN",12
"Midtown Upper East Side ","Thai","SPICE",12
"Morningside Heights ","Barbecue","HARLEM BARBQ",12
"Morningside Heights ","American","ISLAND BURGERS  SHAKES",12
"Murray Hill ","Chinese","ASIA EXPRESS",12
"Murray Hill ","American","BLUE SMOKE",12
"Murray Hill ","Chinese","CAFE CHINA",12
"Murray Hill ","American","CAFE DELECTICA",12
"Murray Hill ","Donuts","DUNKIN' DONUTS BASKIN ROBBINS",12
"Murray Hill ","Caf/Coffee/Tea","FIKA",12
"Murray Hill ","Caf/Coffee/Tea","GREGORY'S COFFEE",12
"Murray Hill ","American","LUCKY'S CAFE  RESTAURANT",12
"Murray Hill ","Italian","MARTA",12
"Murray Hill ","Sandwiches","MAYHEM  STOUT",12
"Murray Hill ","American","MERCURY BAR",12
"Murray Hill ","Italian","NOTARO RESTAURANT",12
"Tribeca ","Asian","WEI WEST/BEANS  GREENS",12
"Tribeca, Soho ","Asian","AUX EPICES",12
"Tribeca, Soho ","Chinese","BAYARD BO KY RESTAURANT",12
"Tribeca, Soho ","Pizza","GINI'S PIZZA JOINT",12
"Tribeca, Soho ","Chinese","HOY WONG RESTAURANT",12
"Tribeca, Soho ","Italian","LUNELLA RESTAURANT",12
"Tribeca, Soho ","Chinese","MEI LAI WAH COFFEE SHOP",12
"Tribeca, Soho ","Italian","PELLEGRINO'S",12
"Tribeca, Soho ","Latin Cuban Dominican Puerto Rican South  Central American","SAZON",12
"Tribeca, Soho ","Chinese","SUN SAI GAI RESTAURANT",12
"Tribeca, Soho ","American","UNION BAR  KITCHEN",12
"Upper East Side","American","MERRION SQUARE",12
"Upper East Side","Japanese","NARUTO RAMEN",12
"Upper East Side","Italian","OTTOMANELLI NY GRILL",12
"Upper East Side","American","UPTOWN",12
"Upper East Side ","American","GAEL PUB",12
"Upper East Side ","Italian","OTTOMANELLI CAFE",12
"Upper East Side ","TexMex","TACO TODAY",12
"Upper East Side ","Ice Cream Gelato Yogurt Ices","TASTI DLITE",12
"Upper East Side ","American","TEXAS ROTISSERIE",12
"Upper West Side","Bakery","COFFEE BREAK",12
"Upper West Side","Hamburgers","ISLAND BURGERS  SHAKES",12
"Upper West Side","Chicken","KOKO WINGS",12
"Upper West Side","Korean","MOKJA",12
"Upper West Side","Pizza/Italian","PERFECTO PIZZERIA",12
"Upper West Side","Asian","SAIGON CAFE",12
"Upper West Side","Italian","TRATTORIA PESCE PASTA",12
"Upper West Side ","Japanese","DAN TEMPURA",12
"Upper West Side ","American","LINCOLN CENTER KITCHEN  DAVID GEFFEN HALL",12
"Upper West Side ","Mexican","SANTA FE",12
"Village NoHo ","American","NOHO STAR RESTAURANT",12
"Village NoHo ","Italian","PARM",12
"Village NoHo ","American","PEASANT",12
"Village NoHo ","American","RICE CREAM SHOPPE",12
"Village NoHo ","Vietnamese/Cambodian/Malaysia","SAIGON SHACK",12
"Washington Heights","Latin Cuban Dominican Puerto Rican South  Central American","VAPOR LOUNGE AND RESTAURANT",12
"Washington Heights","American","WAHI DINER",12
"Washington Heights","Ice Cream Gelato Yogurt Ices","YOSWEETS",12
"Washington Heights ","Spanish","CECI RESTAURANT",12
"Washington Heights ","Latin Cuban Dominican Puerto Rican South  Central American","LA CABANA SALVADORENA RESTAURANT",12
"Washington Heights ","Tapas","VIVA",12
"West Greenwich Village ","Caf/Coffee/Tea","BLUESTONE LANE COFFEE",12
"West Greenwich Village ","American","CC'S CAFE",12
"West Greenwich Village ","Japanese","RAMEN BY MEW",12
"West Greenwich Village ","Caf/Coffee/Tea","REBEL COFFEE",12
"West Greenwich Village ","American","WOGIES",12
"West Midtown ","Other","ARBY'S",12
"West Midtown ","American","BLACK DOOR",12
"West Midtown ","Irish","BLARNEY ROCK",12
"West Midtown ","American","BRASSERIE 8 1/2",12
"West Midtown ","Delicatessen","CHELSEA DELI  PIZZA",12
"West Midtown ","American","CHICKPEA",12
"West Midtown ","Italian","CIELO AT THE MAYFAIR",12
"West Midtown ","American","COLISEUM BAR RESTAURANT",12
"West Midtown ","American","EVERGREEN RESTAURANT",12
"West Midtown ","American","FOUNDRY KITCHEN  BAR",12
"West Midtown ","Juice Smoothies Fruit Salads","Gong Cha",12
"West Midtown ","American","GOSSIPS",12
"West Midtown ","Japanese","GYUKAKU",12
"West Midtown ","Hotdogs/Pretzels","ICE BITES  WINTER VILLAGE",12
"West Midtown ","Mexican","IGUANA RESTAURANT",12
"West Midtown ","Japanese","KUROOBI",12
"West Midtown ","American","MR BIGGS BAR AND GRILL",12
"West Midtown ","American","OLIVE TREE",12
"West Midtown ","Italian","PASTA LOVERS TRATTORIA",12
"West Midtown ","Caf/Coffee/Tea","PERPETUUM CAFE",12
"West Midtown ","Caf/Coffee/Tea","PICCOLO CAFE",12
"West Midtown ","Ethiopian","QUEEN OF SHEBA ETHIOPIAN RESTAURANT",12
"West Midtown ","Caf/Coffee/Tea","REFRESH CAFE",12
"West Midtown ","Other","ROWLANDS BAR AND GRILL / CHEF STREET",12
"West Midtown ","Italian","SCARLATTO",12
"West Midtown ","Italian","SERAFINA AT TIME HOTEL",12
"West Midtown ","Italian","SERGIMMO SALUMERIA",12
"West Midtown ","American","SHERATON NEW YORK HOTEL  TOWERS",12
"West Midtown ","Sandwiches/Salads/Mixed Buffet","SUBWAY / SBARRO",12
"West Midtown ","Japanese","SUSHI SEKI",12
"West Midtown ","Mexican","TAQUERIA DIANA",12
"West Midtown ","Irish","TEMPEST BAR",12
"West Midtown ","Greek","THE GREEK KITCHEN  CLINTON BAKERY CAFE",12
"West Midtown ","American","VILLAGE 38",12
"West Midtown ","Japanese","YURI SUSHI",12
"Chelsea Greenwich Village ","American","BOSTON MARKET",11
"Chelsea Greenwich Village ","Thai","CAFE ASEAN",11
"Chelsea Greenwich Village ","Barbecue","DALLAS BBQ",11
"Chelsea Greenwich Village ","Donuts","DONUT PUB",11
"Chelsea Greenwich Village ","Donuts","DUNKIN' DONUTS/BASKIN ROBBINS",11
"Chelsea Greenwich Village ","American","FLANNERY'S BAR",11
"Chelsea Greenwich Village ","American","G",11
"Chelsea Greenwich Village ","Nuts/Confectionary","JARS BY DANI",11
"Chelsea Greenwich Village ","Thai","PADTHAI NOODLE LOUNGE",11
"Chelsea Greenwich Village ","American","RYEHOUSE",11
"Chelsea Greenwich Village ","American","TBSP",11
"Chelsea Greenwich Village ","American","THE DISH RESTAURANT",11
"East Greenwich Village ","American","EASTERN BLOC",11
"East Greenwich Village ","American","LEN'Z",11
"East Greenwich Village ","Pizza","Little Gio's Pizza",11
"East Harlem ","Spanish","EL CHEVERE CUCHIFRITOS BAKERY",11
"East Harlem ","Middle Eastern","MOUSTACHE",11
"East Harlem ","Juice Smoothies Fruit Salads","MR GOOD JUICE BAR",11
"East Midtown ","Turkish","ALI BABA'S TERRACE",11
"East Midtown ","Caf/Coffee/Tea","BUSTLER COFFEE",11
"East Midtown ","Indian","DAWAT",11
"East Midtown ","Middle Eastern","KARIZMA LOUNGE",11
"East Midtown ","Chinese","KUNG FU LITTLE STEAMED BUNS",11
"East Midtown ","American","MAGGIES PLACE",11
"East Midtown ","Japanese","SHOCHU AND TAPAS AYA",11
"East Midtown ","Japanese","SUNRISE MART",11
"East Midtown ","American","THE NEW YORK PALACE HOTEL 4TH FLOOR KITCHEN",11
"Financial District","American","BURGER KING",11
"Financial District ","Japanese","ISE RESTAURANT",11
"Financial District, Seaport","American","DANTE'S GOURMET FOOD",11
"Financial District, Seaport","American","POTBELLY SANDWICH WORKS",11
"Financial District, Seaport","Thai","THAI SLIDERS  CO LLC",11
"Gramercy ","American","CITY MARKET CAFE",11
"Gramercy ","American","CREDIT SUISSE",11
"Gramercy ","Italian","MOZZARELLI'S",11
"Gramercy ","TexMex","TRES CARNES",11
"Greenwich Village ","Ethiopian","AWASH ETHIOPIAN RESTAURANT",11
"Greenwich Village ","Hamburgers","BLUE 9 BURGER",11
"Greenwich Village ","American","CAFE ORLIN",11
"Greenwich Village ","American","GRAMERCY CAFE",11
"Greenwich Village ","Japanese","JEWEL BAKO",11
"Greenwich Village ","Afghan","KHYBER PASS",11
"Greenwich Village ","French","LA MAISON DU CROQUE MONSIEUR",11
"Greenwich Village ","American","SAN MARZANO",11
"Harlem","American","CAFE FREDERICK HARLEM PARLOR",11
"Harlem","American","CAFE ONE",11
"Harlem","American","HARLEM NIGHTS",11
"Inwood ","Armenian","GARDEN CAFE",11
"Lower East Side ","Mediterranean","CAFE PETISCO",11
"Lower East Side ","Chinese","FOOD KING CHINESE RESTAURANT",11
"Lower East Side ","Chinese","GO BELIEVE BAKERY",11
"Lower East Side ","Chinese","GOLDEN SAND SEAFOOD RESTAURANT",11
"Lower East Side ","Chinese","GOOD TASTE FUZHOU CUISINE",11
"Lower East Side ","Bakery","MANNA HOUSE BAKERY",11
"Lower East Side ","Pizza","PIZZA SHACK",11
"Lower Manhattan ","American","BANK OF NEW YORK EMPL DINING ROOM",11
"Midtown Upper East Side ","Chinese/Japanese","AOYAMA SUSHI",11
"Midtown Upper East Side ","Mexican","CALEXICO",11
"Midtown Upper East Side ","Italian","PRIMOLA RESTAURANT",11
"Midtown Upper East Side ","French","QUATORZE BISTRO",11
"Midtown Upper East Side ","Chinese","SZECHUAN KITCHEN",11
"Morningside Heights ","Caf/Coffee/Tea","ALICE ON SIX",11
"Morningside Heights ","Ice Cream Gelato Yogurt Ices","PIECE OF VELVET",11
"Murray Hill ","Delicatessen","BERGER'S ON THE GO",11
"Murray Hill ","Indian","CURRY IN A HURRY",11
"Murray Hill ","Other","LITTLE RIVER",11
"Murray Hill ","American","ROGER WILLIAMS HOTEL",11
"Murray Hill ","American","SHAKE SHACK",11
"Murray Hill ","American","THE CROOKED KNIFE",11
"Murray Hill ","American","VINOTAPA",11
"Tribeca, Soho ","American","BLACK TAP",11
"Tribeca, Soho ","Bakery","CHIU HONG BAKERY",11
"Tribeca, Soho ","American","HIDEAWAY",11
"Tribeca, Soho ","Chinese","HOP LEE RESTARANT",11
"Tribeca, Soho ","Italian","LA BELLA VITA",11
"Tribeca, Soho ","American","MAPLE",11
"Tribeca, Soho ","American","MON CHER MARKET",11
"Tribeca, Soho ","Middle Eastern","NISH NUSH",11
"Tribeca, Soho ","Other","NYONYA",11
"Tribeca, Soho ","Vietnamese/Cambodian/Malaysia","SAIGON VIETNAMESE SANDWICH",11
"Tribeca, Soho ","Sandwiches","SIMIT AND SMITH",11
"Tribeca, Soho ","American","SMITH  MILLS",11
"Tribeca, Soho ","Vegetarian","WILD GINGER VEGETARIAN KITCHEN",11
"Upper East Side","American","3 GUYS RESTURANT",11
"Upper East Side","Thai","THAIS NEW YORK",11
"Upper East Side ","Mediterranean","A LA TURKA",11
"Upper East Side ","American","ALEX CAFE  DELI",11
"Upper East Side ","Chinese","ASIAN 83",11
"Upper East Side ","French","BRASSERIE MAGRITTE",11
"Upper East Side ","Caf/Coffee/Tea","THE COFFEE BEAN  TEA LEAF",11
"Upper West Side","Other","BEER SHOP",11
"Upper West Side","Caf/Coffee/Tea","IRVING FARM",11
"Upper West Side","Pizza/Italian","LITTLE ITALY PIZZA",11
"Upper West Side","Chinese","NEW KAM LAI RESTAURANT",11
"Upper West Side","Thai","SENN THAI COMFORT FOOD",11
"Upper West Side","Thai","SOOKK THAI RESTAURANT",11
"Upper West Side","Mediterranean","THE TANGLED VINE",11
"Upper West Side ","Sandwiches/Salads/Mixed Buffet","EUROPAN CAFE",11
"Village NoHo ","American","AROMA ESPRESSO BAR",11
"Village NoHo ","American","COURT STREET GROCER'S LAGUARDIA PLACE",11
"Village NoHo ","Japanese","MIYABI SUSHI  ASIAN CUISINE",11
"Village NoHo ","American","PUBLIC RESTAURANT/THE DAILY",11
"Village NoHo ","American","THUNDER JACKSONS URBAN ROADHOUSE",11
"Washington Heights","Pizza","FLACO'S PIZZERIA",11
"Washington Heights","Spanish","LA GUADALUPANA RESTAURANT",11
"Washington Heights ","Latin Cuban Dominican Puerto Rican South  Central American","809 GRILL  BAR RESTAURANT",11
"West Greenwich Village ","American","MUNCHERY",11
"West Greenwich Village ","Vegetarian","TAIM",11
"West Midtown ","Japanese","A1 OCHA SUSHI",11
"West Midtown ","Jewish/Kosher","ABIGAEL'S ON BROADWAY",11
"West Midtown ","American","ATOMIC WINGS",11
"West Midtown ","Mexican","CHIPOTLE MEXICAN GRILL",11
"West Midtown ","TexMex","CHIPOTLE MEXICAN GRILL",11
"West Midtown ","American","EAT ON 8TH",11
"West Midtown ","American","FRESCO 57",11
"West Midtown ","American","HQ CLUB",11
"West Midtown ","American","HUDSON STATION",11
"West Midtown ","Japanese","JUNMEN RAMEN BAR",11
"West Midtown ","Italian","LA RIVISTA RESTAURANT",11
"West Midtown ","American","MARRIOTT MARQUIS  Main Kitchen",11
"West Midtown ","Asian","MOONCAKE FOODS",11
"West Midtown ","American","MUSCLE MAKER GRILL",11
"West Midtown ","French","OCABANON",11
"West Midtown ","Steak","QUALITY MEATS",11
"West Midtown ","American","RANDOM HOUSE",11
"West Midtown ","Mexican","TULCINGO RESTAURANT",11
"West Midtown ","Irish","TWINS PUB",11
"Chelsea Greenwich Village ","Portuguese","ALDEA RESTAURANT",10
"Chelsea Greenwich Village ","Japanese","ASUKA SUSHI",10
"Chelsea Greenwich Village ","Mexican","FONDA OF CHELSEA",10
"Chelsea Greenwich Village ","Salads","GINGERSNAPS ORGANIC",10
"Chelsea Greenwich Village ","Chinese","LEGEND BAR  RESTAURANT",10
"Chelsea Greenwich Village ","Spanish","Los Tacos  1",10
"Chelsea Greenwich Village ","Hamburgers","NEW YORK BURGER CO",10
"Chelsea Greenwich Village ","American","NORWOOD",10
"Chelsea Greenwich Village ","Pizza","STELLA'S PIZZA",10
"Chelsea Greenwich Village ","Japanese","SUSHI PARA 88",10
"Chelsea Greenwich Village ","Mediterranean","WRAPIDO",10
"East Greenwich Village ","Chinese","CHINA WOK",10
"East Greenwich Village ","Mexican","FIVE TACOS",10
"East Greenwich Village ","American","GOOD NIGHT SONNY",10
"East Harlem","Hamburgers","JIMBO'S HAMBURGER",10
"East Harlem","American","KENNEDY CHICKEN  PIZZA",10
"East Harlem","Spanish","TAQUERIA EL BARRIO",10
"East Harlem ","American","LOVE CAFE",10
"East Midtown ","Japanese","CAFE ZAIYA",10
"East Midtown ","American","FRESCO ON THE GO",10
"East Midtown ","Japanese","JUKAI",10
"East Midtown ","Irish","MURPHY'S PUB  RESTAURANT",10
"East Midtown ","American","PFIZER CAFE",10
"East Midtown ","American","SUTTON INN",10
"East Midtown ","Japanese","TERIYAKI BOY",10
"East Midtown ","Delicatessen","ZUCKER'S BAGEL",10
"Financial District","American","AROMA ESPRESSO BAR",10
"Financial District","French","RACINES",10
"Financial District","American","YORGANIC",10
"Financial District ","Bagels/Pretzels","AUNTIE ANNE'S",10
"Financial District ","Indian","BOMBAY'S",10
"Financial District ","Sandwiches/Salads/Mixed Buffet","COSI",10
"Financial District ","Thai","OBAO NOODLES  BBQ",10
"Financial District ","American","THE BRASS TAP",10
"Financial District, Seaport","American","FRESH SALT",10
"Financial District, Seaport","Asian","NUM PANG SANDWICH SHOP",10
"Financial District, Seaport","Asian","WASABI SUSHI  BENTO",10
"Gramercy ","Japanese","BENTO SUSHI",10
"Gramercy ","Sandwiches","EISENBERG'S SANDWICH SHOP",10
"Greenwich Village ","Italian","AMORINO",10
"Greenwich Village ","Caf/Coffee/Tea","ARGO TEA CAFE",10
"Greenwich Village ","Indian","HAVELI INDIAN RESTAURANT",10
"Greenwich Village ","Asian","JACK'S SLIDERS AND SUSHI",10
"Greenwich Village ","Caf/Coffee/Tea","KUNG FU TEA",10
"Greenwich Village ","Thai","Ngam",10
"Greenwich Village ","Japanese","OGAWA CAFE",10
"Greenwich Village ","Japanese","RED KOI ORGANIC SUSHI LOUNGE",10
"Greenwich Village ","Japanese","SHARAKU JAPANESE RESTAURANT",10
"Greenwich Village ","Thai","SPICE",10
"Greenwich Village ","American","THE THIRSTY SCHOLAR",10
"Greenwich Village ","American","THE WATERING HOLE",10
"Greenwich Village ","American","UNIVERSITY CENTER CAFE",10
"Harlem","Latin Cuban Dominican Puerto Rican South  Central American","GRINI'S GRILL  RESTAURANT",10
"Harlem","Soul Food","JACOB RESTAURANT",10
"Harlem","American","MESS HALL",10
"Harlem","Spanish","QUE RICO POLLO RESTAURANT  GRILL",10
"Harlem","Ethiopian","TSION CAFE  BAKERY",10
"Inwood ","Latin Cuban Dominican Puerto Rican South  Central American","FLORIDITA RESTAURANT UPTOWN 2 INC",10
"Lower East Side ","Chinese","CONGEE RESTAURANT",10
"Lower East Side ","Donuts","DUNKIN' DONUTS BASKIN ROBBINS",10
"Lower Manhattan ","American","TIME INC CAFE AND COFFEE BAR",10
"Midtown Upper East Side ","American","ALICES TEA CUP CHAPTER 2",10
"Midtown Upper East Side ","Japanese","FUJIYAMA",10
"Midtown Upper East Side ","Pizza","GOTHAM PIZZA",10
"Midtown Upper East Side ","American","HUNTER COLLEGE FACULTY DINING",10
"Midtown Upper East Side ","Italian","MEDITERRANEO",10
"Midtown Upper East Side ","American","THE EAST POLE",10
"Murray Hill ","Chinese/Japanese","AKI SUSHI AND GRILL",10
"Murray Hill ","Latin Cuban Dominican Puerto Rican South  Central American","EL POTE ESPANOL",10
"Murray Hill ","Irish","FAILTE",10
"Murray Hill ","Japanese","HIROSHI JAPANESE RESTAURANT",10
"Murray Hill ","Italian","I TRULLI RESTAURANT",10
"Murray Hill ","Delicatessen","IMPRESS DELI",10
"Murray Hill ","Mexican","LA POSADA MEXICAN FOOD",10
"Murray Hill ","Pizza/Italian","LITTLE ITALY PIZZA/PAPAYA DOG",10
"Murray Hill ","American","RESTO",10
"Murray Hill ","Indian","TAMBA INDIAN GRILL  BAR",10
"Murray Hill ","American","TONIC EAST",10
"Tribeca, Soho ","Hamburgers","BLACK BURGER/ ROLL N GO PIZZA",10
"Tribeca, Soho ","Pizza","JOEY PEPPERONI",10
"Tribeca, Soho ","Tapas","KANA TAPAS BAR  RESTAURANT",10
"Tribeca, Soho ","Hamburgers","MCDONALD'S",10
"Tribeca, Soho ","American","SANCTUARY T",10
"Tribeca, Soho ","Delicatessen","TRIBECA BAGELS",10
"Tribeca, Soho ","American","TRIBECA TAPHOUSE",10
"Upper East Side","American","THE DISTRICT",10
"Upper East Side ","Italian","COME PRIMA",10
"Upper East Side ","American","EAT CAFE",10
"Upper East Side ","Asian","GOOD HEALTH NATURAL CAFE",10
"Upper East Side ","American","MILE 17",10
"Upper East Side ","French","THE SIMONE",10
"Upper West Side","Chicken","HARRIET'S KITCHEN",10
"Upper West Side","Japanese","JIN RAMEN UWS",10
"Upper West Side","Thai","OPAI THAI",10
"Upper West Side","American","PEACE FOOD CAFE",10
"Upper West Side ","Tapas","BARCIBO ENOTECA",10
"Upper West Side ","Italian","CESCA",10
"Village NoHo ","Caf/Coffee/Tea","AB BIAGI",10
"Village NoHo ","French","DOMINIQUE ANSEL BAKERY",10
"Village NoHo ","Italian","LA LANTERNA DI VITTORIO",10
"Village NoHo ","American","NO 142 BAR",10
"Village NoHo ","Caf/Coffee/Tea","RAPHA CYCLE CLUB",10
"Village NoHo ","Spanish","SOCARRAT NOLITA",10
"Village NoHo ","Indian","SURYA INDIAN CUISINE",10
"Village NoHo ","Japanese","SUSHI SUSHI",10
"Washington Heights","Donuts","DUNKIN' DONUTS",10
"Washington Heights","Chicken","POPEYES LOUISIANA KITCHEN",10
"Washington Heights","Pizza","SLICE PIZZA",10
"Washington Heights","American","TASTY DELI",10
"Washington Heights","Latin Cuban Dominican Puerto Rican South  Central American","TU SONRISA",10
"Washington Heights ","Chinese","GOLDEN DRAGON III",10
"Washington Heights ","American","NEW LEAF",10
"West Greenwich Village ","Italian","BAKER  CO",10
"West Greenwich Village ","Australian","BLUESTONE LANE COLLECTIVE CAFE",10
"West Greenwich Village ","Mexican","DOS CAMINOS",10
"West Greenwich Village ","American","NOURISH KITCHEN  TABLE",10
"West Greenwich Village ","American","SUGAR FACTORY MEATPACKING",10
"West Greenwich Village ","American","THE QUARTER",10
"West Greenwich Village ","American","THE WARREN",10
"West Midtown ","Pizza","ANGELO'S PIZZA",10
"West Midtown ","American","BEER AUTHORITY",10
"West Midtown ","Barbecue","BROTHER JIMMY'S BBQ",10
"West Midtown ","American","CAFE BISTRO",10
"West Midtown ","American","CAFE BONJOUR DELI  PIZZA",10
"West Midtown ","American","DIZZY'S CLUB COCACOLA ENTRANCE at 20 W60 StStage Door",10
"West Midtown ","Caf/Coffee/Tea","EYES ON HUDSON CAFE",10
"West Midtown ","American","HK BOXERS NYC",10
"West Midtown ","Brazilian","IPANEMA RESTAURANT",10
"West Midtown ","Korean","KBAP",10
"West Midtown ","Pakistani","LASANI RESTAURANT",10
"West Midtown ","Sandwiches/Salads/Mixed Buffet","LE PAIN QUOTIDIEN",10
"West Midtown ","American","MANGANARO'S HERO BOY",10
"West Midtown ","American","MURALS ON 54/RANDOLPHS'S",10
"West Midtown ","American","PAUL WEISS RIFKIN WHARTON",10
"West Midtown ","American","PAX",10
"West Midtown ","Pizza/Italian","PN WOOD FIRED PIZZA",10
"West Midtown ","Greek","SNACK EOS",10
"West Midtown ","American","THE JONES",10
"West Midtown ","Italian","TONY'S DI NAPOLI",10
"West Midtown ","Steak","UNCLE JACK'S STEAKHOUSE",10
"West Midtown ","American","YAHOO NYC CAFE",10
"Chelsea Greenwich Village ","American","CAFE BEYOND",9
"Chelsea Greenwich Village ","French","CAFE CHAMPIGNON",9
"Chelsea Greenwich Village ","Vietnamese/Cambodian/Malaysia","CO BA RESTAURANT",9
"Chelsea Greenwich Village ","Thai","GO GO THAI",9
"Chelsea Greenwich Village ","American","GUCKENHEIMER  TWITTER",9
"Chelsea Greenwich Village ","Caf/Coffee/Tea","INTELLIGENTSIA COFFEE",9
"Chelsea Greenwich Village ","Pizza","J 'S PIZZA",9
"Chelsea Greenwich Village ","Italian","LA SIRENA",9
"Chelsea Greenwich Village ","American","MOMOFUKU",9
"Chelsea Greenwich Village ","Mexican","OAXACA GREENWICH",9
"East Greenwich Village ","American","ALPHABET LOUNGE",9
"East Greenwich Village ","American","AU ZA'ATAR",9
"East Greenwich Village ","American","Evelyn",9
"East Greenwich Village ","Sandwiches","SUBWAY",9
"East Greenwich Village ","American","THE BLACK ROSE NY",9
"East Harlem","Chinese","HANG CHOU RESTAURANT",9
"East Harlem","Pizza","PIZZA PLUS",9
"East Harlem","Sandwiches","SUBWAY",9
"East Harlem ","Juice Smoothies Fruit Salads","BALLY TOTAL FITNESS",9
"East Harlem ","American","CREPE CAFE",9
"East Harlem ","Chinese","DOUBLE DRAGON 88",9
"East Harlem ","Chinese","GREAT HONG KONG INC",9
"East Harlem ","Pizza","LITTLE CAESARS",9
"East Harlem ","Thai","MALII",9
"East Harlem ","Spanish","SAPITO'S",9
"East Harlem ","American","SUPERIOR CAFE",9
"East Midtown ","Indian","44TH STREET MINAR",9
"East Midtown ","American","ANNIE MOORES PUB  RESTAURANT",9
"East Midtown ","Pizza","APERITIVO PIZZA BAR",9
"East Midtown ","Indian","CAFE SPICE",9
"East Midtown ","American","DELMONICO GOURMET",9
"East Midtown ","American","JEFFERIES CAFE 5th Floor",9
"East Midtown ","American","LIPS RESTAURANT",9
"East Midtown ","American","Market Cafe",9
"East Midtown ","Pizza","MY PIE",9
"East Midtown ","Bakery","PARIS BAGUETTE",9
"East Midtown ","Caf/Coffee/Tea","POD CAFE",9
"East Midtown ","American","THE KING COLE BAR AND SALON",9
"East Midtown ","American","TREEHAUS",9
"East Midtown ","American","UNCLE CHARLIE",9
"East Midtown ","Japanese","YAMA",9
"East Midtown ","Indian","YUVA FRONTIER INDIAN GRILL",9
"Financial District","Donuts","DUNKIN DONUTS",9
"Financial District","American","MANHATTAN PROPER",9
"Financial District","Irish","MAXWELL'S",9
"Financial District","Mexican","ROSA MEXICANO TRIBECA",9
"Financial District ","Mexican","CHIPOTLE MEXICAN GRILL",9
"Financial District ","Bagels/Pretzels","EAT A BAGEL On the Guy V Molinari Ferry",9
"Financial District ","Seafood","LUKE'S LOBSTER",9
"Financial District ","Scandinavian","SMORGAS CHEF/ CREPES DU NORD",9
"Financial District, Seaport","French","BRASSERIE LES HALLES",9
"Financial District, Seaport","American","DENNY'S",9
"Gramercy ","Pizza","2 BROS PIZZA",9
"Gramercy ","Delicatessen","BROADWAY CAFE",9
"Gramercy ","Eastern European","LOVE CAFE AND BAR",9
"Gramercy ","American","SONY HUB/COFFEE BAR",9
"Gramercy ","American","THE STOREHOUSE",9
"Greenwich Village ","Vegetarian","ANGELICA KITCHEN",9
"Greenwich Village ","Korean","BOWLLIN'",9
"Greenwich Village ","Chinese","CHEN'S EXPRESS KITCHEN",9
"Greenwich Village ","American","FRAICHE MAXX",9
"Greenwich Village ","Japanese","KANOYAMA",9
"Greenwich Village ","French","LE PETIT PARISIEN",9
"Greenwich Village ","Japanese","MIZU",9
"Greenwich Village ","Japanese","VILLAGE YOKOCHO",9
"Harlem","Bagels/Pretzels","ACTS 111 BAGELS",9
"Harlem","Hamburgers","MCDONALD'S",9
"Harlem","Chinese","MIN GOLDEN WOK",9
"Harlem ","Chicken","KENNEDY FRIED CHICKEN",9
"Inwood ","Latin Cuban Dominican Puerto Rican South  Central American","LA ESSENCIA RESTAURANT",9
"Lower East Side ","Caf/Coffee/Tea","CAKE SHOP",9
